STVBLDG_CODE,STVBLDG_DESC
SALHOS,Saline Community Hospital
SCBXAA,Scrap Box - Ann Arbor
SINHOS,Sinai Hospital
SJMHOS,St Joseph Mercy Hospital
TONDES,Tondo Elementary School
TRAVRS,AIE Traverse City Program
UMMOTT,UM Mott Children's Hosp
VAHOSP,VA Hospital - Ann Arbor
CCDSTU,Central City Dance Studio
WIRNHS,Willow Run High School
DC-2,Dining Commons 2
PHELP,Phelps Hall
RACKHM,Rackham Hall
DOWNI,Downing Hall
PITTM,Pittman Hall
WARMSH,Warren Middle School
EGFLCT,Eagle Flight Center
DACHR,DaimlerChrysler Corporation
FAYHSP,Fayette Historic State Park
MIHICL,Michigan Historical Center
MONCHD,Monroe County Health Dept
FOR601,601 Forest
VILLGE,The Village
GODDA,Goddard Hall
IRONMT,Iron Mountain
YPSIHS,Ypsilanti High School
ARDISE,Ardis Elementary School
FOOTBL,Football Team Building
BYRANC,Byran Center High School
GERMAN,Germany
RIVARC,Riverside Arts Center
ECUADO,Ecuador
JAPAN,Japan
PARSON,Parsons Center
COMMHS,Community High School
BRIGHT,EMU Brighton
ANAPLS,Oakwood Hospital - Annapolis
ORIDGE,Oakridge High School
CHLHOS,Chelsea Community Hosptital
DMNICA,"Dominica, West Indies"
SCOTLA,"Scotland, UK"
LINCES,Lincoln Elementary School
CHINA,China
PINKHS,Pinckney High School
BRICES,Brick Elem School-Lincoln Dist
SALEVA,Saline Evangelical Home
GLACHL,Glacier Hills Retirement Comm
STMARY,St Mary
TREETP,Treetops Resort
MILANH,Milan High School
GCHOSP,Garden City Hospital
FOOTE,Foote Health University
HEARTL,Heartland Health Care Center
OAKHHO,Oakwood Heritage Hospital
WACHST,Wayne County Head Start
NWGC,Northwest Guidance Center
OAKWES,"Oakwood Hlth Center, Westland"
IRELAN,Ireland
DANCGA,Dance Gallery Studio
JHCS,Jackson Hillsdale County Servs
DDH,Detroit Dept of Health&Wellnes
WCHD,Wayne County Dept of Pub Healt
MIAT,MI Institute of Aviation Techn
DOCHVC,Dept Corrections Huron Valley
WASCCH,Washtenaw County Commty Health
YPSSTU,Ypsilanti Studio
UNKING,United Kingdom
ELSALV,El Salvador
SHANTY,Shanty Creek and Resort
BODYSS,Body Specs Studio
CTRLST,Central Receiving
COOPER,Cooper Building
OFFCMP,Off Campus Location
FLETCH,Fletcher Building
LINCMS,Lincoln Middle School
FISHLK,Fish Lake
PSYCLN,Psychology Clinic
YPSARB,Ypsi Arbor Lanes
CONVCN,Convocation Center
STUCEN,Student Center
LAKEHS,Lake House
SCHLHS,One Room School House
FORDLK,Ford Lake Park
PUBLSC,Public Schools
PHYSPL,EMU Physical Plant
HOLMCN,Holocaust Memorial Center
WIRNMS,Willow Run Middle School
RIVGAL,River Galley Fine Arts
HVPRIS,Huron Valley Women's Prison
ONLINE,Online
PROVPK,Providence Park Hospital
DWCMHA,Det-Wayne Cty Cmty Men Hlth Ag
LPRHS,Lapeer High School
SALHS,Saline High School
ADVTA,Advanced Technology Academy
HAWCTR,Hawthorn Center
BRIHOS,Brighton Hospital
DETREC,Detroit Receiving Hospital
FORPSY,Center for Forensic Psychiatry
WRPHOS,Walter Ruether Psychiatry Hosp
WAYJDC,Wayne Cnty Juvenile Detent Cnt
WASCMH,Washtenaw Cnty Cmty Mental Hlt
STONE,Stone Laboratory
COLANE,Colonial Lanes
SCIENC,Science Complex
NMC,Northwestern Michigan College
LANCTR,Lansing University Center
JAXCCC,Jackson Area Career Center
SJMHSC,St Joe Hosp Simulation Center
ORCLAK,Orchard Lake Yacht Club
TEMIWB,Temple Israel
EMUDET,EMU Detroit
YPSIMW,Ypsilanti Meals on Wheels
LUTHSC,Our Savior Evangelical Luth Sc
SIMSJM,St Joe Hosp Simulation Center
BELMAR,Bel-Mark Lanes
DETVET,Detroit Veteran's Center
OAKDLE,Hegira Oakdale Recovery Center
NEGCTR,Northeast Guidance Center
HFCUC,Henry Ford College Univ Center
CENR,Central Receiving
MONCCC,Monroe County Comm. College
OAKSCH,Oakland Schools
RANSTU,Randazzo Dance Studio
TOLZOO,Toledo Zoological
WININN,Wingate Inn's
DC-3,Dining Commons 3
FOR600,600 Forest - President's House
DETPSD,Detroit Public School District
DETCC,Detroit Central City CMH
