STVSUBJ_CODE,STVSUBJ_DESC
ARTE,Art Education
ARTH,Art History
ARTS,Art Studio
URP,Urban and Regional Planning
DOTS,Distribution Ops&Tech Sales
JSTS,Jewish Studies
REE,Renewable Energy
ENVI,Environmentl Science & Society
PAS,Physician Assistant
AFC,Africology & African Amer Stu
LEAD,Leadership
PMED,Pre-Medicine
SPGN,Special Educ General
SPPI,Special Educ Physically Imprd
WCC,AH Conv - Washtenaw CC
COUN,Counseling
SCM,Supply Chain Management
NSCI,Neuroscience
EDT,Entertainment Design&Technolog
STAT,Statistics
FERM,Fermentation Science
